scheme,volume,repetition,baseline_memory_mb,peak_memory_mb,memory_used_mb,mean_cpu_percent,peak_cpu_percent,cpu_sample_interval_sec,num_cpu_samples,wall_time_sec,throughput
RSA+AES-256,100,1,73.21484375,78.7578125,5.54296875,98.25264305177112,124.7,0.05,1835,93.30209016799927,249.11191599433621
RSA+AES-256,100,2,73.5234375,78.69921875,5.17578125,99.05396132252028,124.8,0.05,1603,81.71162939071655,256.5546506532441
RSA+AES-256,100,3,73.3046875,78.64453125,5.33984375,99.16103225806452,124.7,0.05,1550,78.90941858291626,253.8840450161447
RSA+AES-256,100,4,73.32421875,78.84765625,5.5234375,99.19579772079771,124.7,0.05,1404,71.55146670341492,252.95527650662933
RSA+AES-256,100,5,73.46875,78.546875,5.078125,99.3840926064227,124.7,0.05,1339,68.28565192222595,254.761037962658
RSA+AES-256,500,1,73.109375,78.796875,5.6875,99.39652357124045,124.8,0.05,7594,384.066876411438,267.7913187923782
RSA+AES-256,500,2,73.26171875,79.06640625,5.8046875,99.52136662286465,124.8,0.05,7610,384.88678908348083,270.0925201822318
RSA+AES-256,500,3,73.08203125,78.515625,5.43359375,99.52476580023749,155.4,0.05,7579,383.2900426387787,271.5356557809104
RSA+AES-256,500,4,73.3515625,78.95703125,5.60546875,99.39617869415807,124.8,0.05,7275,367.9556610584259,272.02838235116053
RSA+AES-256,500,5,73.453125,79.25390625,5.80078125,99.48424326192122,124.7,0.05,7235,366.0385332107544,270.82585851080154
RSA+AES-256,1000,1,73.5078125,79.453125,5.9453125,99.54258268824772,124.8,0.05,14210,718.1987495422363,272.7661543074061
RSA+AES-256,1000,2,73.203125,79.2890625,6.0859375,99.48957416559475,124.7,0.05,14771,746.6481101512909,271.5861639757305
RSA+AES-256,1000,3,73.1484375,79.54296875,6.39453125,99.51866489770268,154.3,0.05,14321,723.6865711212158,273.07949811485935
RSA+AES-256,1000,4,73.51953125,79.37109375,5.8515625,99.50869806094184,124.8,0.05,14440,729.7022175788879,272.1201133658889
RSA+AES-256,1000,5,72.95703125,79.15625,6.19921875,99.51570680628272,124.7,0.05,14707,743.1173152923584,272.7533727432266
RSA+AES-256,5000,1,73.5859375,82.38671875,8.80078125,99.55259428729894,124.8,0.05,72120,3642.009131193161,272.9239392357672
RSA+AES-256,5000,2,73.34765625,81.96875,8.62109375,99.55129967012059,124.8,0.05,73057,3689.5530214309692,272.9444173809545
RSA+AES-256,5000,3,73.5625,83.2734375,9.7109375,99.50481284153005,124.8,0.05,73200,3696.415274143219,273.27914604719683
RSA+AES-256,5000,4,73.48828125,83.0546875,9.56640625,99.55084910372385,124.8,0.05,72076,3639.462427377701,272.9326217736497
RSA+AES-256,5000,5,73.5703125,82.02734375,8.45703125,99.5537093740131,124.8,0.05,72829,3677.550057411194,272.6443972524264
ECC+AES-256,100,1,73.4375,79.1328125,5.6953125,72.0,92.6,0.05,3,0.8900136947631836,2840.626648432185
ECC+AES-256,100,2,73.10546875,78.85546875,5.75,92.7,123.4,0.05,4,0.9715862274169922,2894.171714653119
ECC+AES-256,100,3,73.3359375,78.73046875,5.39453125,72.10000000000001,124.0,0.05,3,0.8513388633728027,3079.851313183575
ECC+AES-256,100,4,73.484375,78.87890625,5.39453125,82.56666666666666,93.0,0.05,3,0.8202118873596191,3487.966527951452
ECC+AES-256,100,5,73.23828125,78.796875,5.55859375,82.46666666666667,92.8,0.05,3,0.8253300189971924,3532.008837443283
ECC+AES-256,500,1,73.37109375,79.015625,5.64453125,92.74285714285715,123.5,0.05,7,1.0145931243896484,3800.449057533852
ECC+AES-256,500,2,73.43359375,78.98828125,5.5546875,66.31428571428572,124.5,0.05,7,1.019871711730957,3857.3907176497914
ECC+AES-256,500,3,73.3359375,78.6875,5.3515625,70.64285714285714,93.3,0.05,7,0.9920120239257812,3803.666889488336
ECC+AES-256,500,4,73.4765625,79.06640625,5.58984375,98.11666666666667,124.3,0.05,6,0.9226999282836914,3872.6097356144783
ECC+AES-256,500,5,73.03515625,78.98828125,5.953125,83.89999999999999,93.3,0.05,7,0.9672157764434814,3775.8817811310078
ECC+AES-256,1000,1,73.046875,79.546875,6.5,77.35000000000001,124.0,0.05,12,1.2293517589569092,3889.4584736549173
ECC+AES-256,1000,2,73.26171875,78.93359375,5.671875,72.125,93.1,0.05,12,1.2508080005645752,3914.2022493150675
ECC+AES-256,1000,3,73.125,79.578125,6.453125,84.46363636363637,123.9,0.05,11,1.1802916526794434,3758.3628197723024
ECC+AES-256,1000,4,73.05859375,79.39453125,6.3359375,81.50909090909092,124.0,0.05,11,1.230316162109375,3815.786054818438
ECC+AES-256,1000,5,73.109375,79.44140625,6.33203125,89.37777777777778,93.3,0.05,9,1.0576138496398926,3982.887923792957
ECC+AES-256,5000,1,73.38671875,82.7265625,9.33984375,81.86190476190475,124.3,0.05,42,2.761108636856079,4232.175094460499
ECC+AES-256,5000,2,73.4921875,82.9140625,9.421875,93.71219512195121,124.4,0.05,41,2.6410295963287354,4227.06079961274
ECC+AES-256,5000,3,73.4453125,83.26171875,9.81640625,90.62142857142857,124.1,0.05,42,2.7028515338897705,4162.068620626639
ECC+AES-256,5000,4,73.46484375,82.6171875,9.15234375,92.08974358974359,124.4,0.05,39,2.591078042984009,4287.39874322767
ECC+AES-256,5000,5,73.13671875,82.7421875,9.60546875,90.5875,124.3,0.05,40,2.5773863792419434,4217.829642533986
ECC+ChaCha20,100,1,73.25,78.91015625,5.66015625,92.56666666666666,92.7,0.05,3,0.755805492401123,3488.696632081865
ECC+ChaCha20,100,2,73.51953125,78.7734375,5.25390625,82.3,92.4,0.05,3,0.8682169914245605,3441.79579787741
ECC+ChaCha20,100,3,73.42578125,78.734375,5.30859375,72.03333333333333,92.6,0.05,3,0.8562765121459961,3576.947283053907
ECC+ChaCha20,100,4,73.22265625,78.8671875,5.64453125,102.86666666666667,123.8,0.05,3,0.8131957054138184,3869.130541901274
ECC+ChaCha20,100,5,73.30078125,78.546875,5.24609375,61.833333333333336,92.6,0.05,3,0.8167412281036377,3754.035586808647
ECC+ChaCha20,500,1,73.44140625,78.76171875,5.3203125,79.44285714285715,123.9,0.05,7,1.0203590393066406,3975.6309673661335
ECC+ChaCha20,500,2,73.50390625,79.1171875,5.61328125,66.25714285714285,93.1,0.05,7,1.017812728881836,4003.308331699865
ECC+ChaCha20,500,3,73.1796875,78.97265625,5.79296875,88.17142857142858,92.9,0.05,7,0.9931893348693848,3981.947445133137
ECC+ChaCha20,500,4,73.5859375,78.921875,5.3359375,92.78571428571429,124.1,0.05,7,0.9831011295318604,3985.959858061724
ECC+ChaCha20,500,5,73.40625,78.82421875,5.41796875,87.76666666666667,123.4,0.05,6,0.9503214359283447,3924.144704361294
ECC+ChaCha20,1000,1,73.1875,79.25,6.0625,75.91818181818182,92.9,0.05,11,1.1922485828399658,4150.168014136884
ECC+ChaCha20,1000,2,73.30078125,79.34375,6.04296875,80.91538461538462,123.7,0.05,13,1.310875415802002,4122.817066720688
ECC+ChaCha20,1000,3,73.36328125,79.22265625,5.859375,96.1,123.9,0.05,9,1.0787274837493896,4267.394968192931
ECC+ChaCha20,1000,4,73.4140625,79.109375,5.6953125,76.27692307692308,93.4,0.05,13,1.289785385131836,3976.85628271025
ECC+ChaCha20,1000,5,73.125,79.15625,6.03125,64.22307692307692,123.8,0.05,13,1.3589985370635986,4155.217304498433
ECC+ChaCha20,5000,1,73.25,82.71875,9.46875,76.36938775510204,124.1,0.05,49,3.1775662899017334,4328.949606797933
ECC+ChaCha20,5000,2,73.72265625,82.98828125,9.265625,73.634,124.1,0.05,50,3.162410020828247,4333.096575114521
ECC+ChaCha20,5000,3,73.12109375,82.671875,9.55078125,75.26470588235294,123.2,0.05,51,3.190605640411377,4235.965650809835
ECC+ChaCha20,5000,4,73.16796875,82.40625,9.23828125,75.16938775510205,124.7,0.05,49,3.0910353660583496,4391.441117457135
ECC+ChaCha20,5000,5,73.15234375,83.09765625,9.9453125,73.52678571428571,124.7,0.05,56,3.456743001937866,4185.707447591761
